,p_id,name,price,colour,brand,brand_id
0,1518329.0,Dupatta Bazaar White Embroidered Chiffon Dupatta,899.0,White,Dupatta Bazaar,242
1,10711448.0,Dupatta Bazaar Women White Solid Dupatta,599.0,White,Dupatta Bazaar,242
2,14964708.0,Dupatta Bazaar Orange & Green Dyed Art Silk Bandhani Dupatta,899.0,Orange,Dupatta Bazaar,242
3,13552234.0,Dupatta Bazaar Black Solid Dupatta,599.0,Black,Dupatta Bazaar,242
4,17663032.0,Dupatta Bazaar Women's Solid Orange Dupatta,599.0,Orange,Dupatta Bazaar,242
5,12866574.0,Dupatta Bazaar Maroon Solid Dupatta,699.0,Maroon,Dupatta Bazaar,242
6,17662986.0,Dupatta Bazaar Green Striped Tie and Dye Dupatta,999.0,Green,Dupatta Bazaar,242
7,15514526.0,Dupatta Bazaar Navy Blue Embroidered Dupatta with Mirror Work,999.0,Navy Blue,Dupatta Bazaar,242
8,14447434.0,Dupatta Bazaar White Ethnic Motifs Embroidered Dupatta,999.0,White,Dupatta Bazaar,242
9,13041774.0,Dupatta Bazaar Women Pink & Off-White Striped Leheriya Dupatta,1399.0,Pink,Dupatta Bazaar,242
10,10588018.0,Dupatta Bazaar White Dyed Dupatta,499.0,White,Dupatta Bazaar,242
11,14447530.0,Dupatta Bazaar Pink & Gold-Toned Woven Design Banarasi Pure Silk Dupatta,1499.0,Pink,Dupatta Bazaar,242
12,17663034.0,Dupatta Bazaar Off White & Gold-Toned Embroidered Dupatta,999.0,Off White,Dupatta Bazaar,242
13,996728.0,Dupatta Bazaar Beige Silk Dupatta,599.0,Beige,Dupatta Bazaar,242
14,14160408.0,Dupatta Bazaar Silver-Toned Solid Dupatta,899.0,Silver,Dupatta Bazaar,242
15,10487070.0,Dupatta Bazaar Off-White Solid Dupatta,599.0,Off White,Dupatta Bazaar,242
16,18652504.0,Dupatta Bazaar Yellow & Pink Embroidered Dupatta with Thread Work,6999.0,Yellow,Dupatta Bazaar,242
17,14160340.0,Dupatta Bazaar White Embroidered Chiffon Dupatta,999.0,White,Dupatta Bazaar,242
18,12866552.0,Dupatta Bazaar Orange Solid Dupatta,699.0,Orange,Dupatta Bazaar,242
19,17662850.0,Dupatta Bazaar Gold-Toned Embroidered Dupatta with Gotta Patti,999.0,Gold,Dupatta Bazaar,242
20,17662820.0,Dupatta Bazaar Maroon Dupatta,599.0,Maroon,Dupatta Bazaar,242
21,996729.0,Dupatta Bazaar White Silk Dupatta,599.0,White,Dupatta Bazaar,242
22,12047844.0,Dupatta Bazaar Beige & Gold-Coloured Embellished Dupatta,799.0,Beige,Dupatta Bazaar,242
23,15043152.0,Dupatta Bazaar Maroon & Black Ethnic Motifs Block Printed Dupatta,3499.0,Maroon,Dupatta Bazaar,242
24,17662882.0,Dupatta Bazaar Red Woven Design Dupatta with Sequinned Detail,999.0,Red,Dupatta Bazaar,242
25,10358133.0,Dupatta Bazaar Red & Gold-Coloured Woven Design Dupatta,699.0,Red,Dupatta Bazaar,242
26,18207362.0,Dupatta Bazaar Black Linen Dupatta,899.0,Black,Dupatta Bazaar,242
27,18207274.0,Dupatta Bazaar Pink & Gold-Toned Ethnic Motifs Printed Art Silk Dupatta,899.0,Pink,Dupatta Bazaar,242
28,17662918.0,Dupatta Bazaar White & Gold-Toned Embroidered Net Dupatta,999.0,White,Dupatta Bazaar,242
29,18068014.0,Dupatta Bazaar Women Red Embroidered Chiffon Dupatta,799.0,Red,Dupatta Bazaar,242
30,12967844.0,Dupatta Bazaar Black Embroidered Dupatta,899.0,Black,Dupatta Bazaar,242
